Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	25.805151800	25.814067481	61773.3	67587.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
2	Spectrogram 1	1	25.922647747	25.948757958	59350.8	69525.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
3	Spectrogram 1	1	26.966418407	26.984568187	61773.3	69525.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
4	Spectrogram 1	1	27.961153241	27.990766041	62742.2	75339.1	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
5	Spectrogram 1	1	27.983124028	27.991721292	91569.8	99806.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
6	Spectrogram 1	1	27.815954996	27.832830684	80184.1	87936.0	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
7	Spectrogram 1	1	41.999522838	42.011304274	65164.7	71705.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
8	Spectrogram 1	1	42.678387976	42.697811425	61773.3	70736.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
9	Spectrogram 1	1	42.787286659	42.823267803	59108.5	71463.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
10	Spectrogram 1	1	43.921487804	43.931677155	65649.2	70736.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
11	Spectrogram 1	1	43.928174565	43.937090247	83091.1	90358.5	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
12	Spectrogram 1	1	43.960971537	43.983260741	85029.1	103682.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	6
13	Spectrogram 1	1	49.571479519	49.584853042	63226.7	71705.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
14	Spectrogram 1	1	49.582305704	49.599818650	80668.6	89389.5	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
15	Spectrogram 1	1	50.337272554	50.346188235	63226.7	70978.7	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
16	Spectrogram 1	1	50.569716943	50.585000968	57412.8	70251.9	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
17	Spectrogram 1	1	50.714278353	50.736567557	62015.5	72916.7	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
18	Spectrogram 1	1	52.186320404	52.199375510	64922.5	74127.9	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
19	Spectrogram 1	1	52.411759615	52.441372415	60077.5	73885.7	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
20	Spectrogram 1	1	53.018980882	53.050185768	51114.3	62257.8	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
21	Spectrogram 1	1	54.197442442	54.218776395	54748.1	65407.0	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
22	Spectrogram 1	1	55.546257036	55.559948976	65164.7	69282.9	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
23	Spectrogram 1	1	55.591790696	55.603890550	46996.1	56928.3	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
24	Spectrogram 1	1	55.587332855	55.599751126	38032.9	43604.7	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
25	Spectrogram 1	1	56.021335334	56.032161519	60804.3	75823.6	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
26	Spectrogram 1	1	56.136920778	56.143289122	62257.8	69282.9	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
27	Spectrogram 1	1	56.152841638	56.173538757	64922.5	77519.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
28	Spectrogram 1	1	57.034856359	57.061284986	58624.0	71463.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
29	Spectrogram 1	1	57.609599071	57.642714460	58624.0	67587.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
30	Spectrogram 1	1	57.488282286	57.504203146	65164.7	76792.6	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
31	Spectrogram 1	1	60.159482847	60.176040541	60804.3	71705.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
32	Spectrogram 1	1	60.595077411	60.620869205	61773.3	74854.7	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
33	Spectrogram 1	1	60.942788827	60.966988535	62257.8	74612.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
34	Spectrogram 1	1	60.973993713	60.983546229	75096.9	93023.3	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
35	Spectrogram 1	1	61.390801662	61.402583099	62742.2	73401.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
36	Spectrogram 1	1	61.518486961	61.535363073	60804.3	68556.2	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
37	Spectrogram 1	1	61.742015668	61.759847031	62257.8	71705.4	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
38	Spectrogram 1	1	61.761757535	61.780225732	80184.1	91327.5	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
39	Spectrogram 1	1	61.863651039	61.877661396	58381.8	66376.0	742-B5-A30_0013.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0013.flac	4
