Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
11	Spectrogram 1	1	74.294288464	74.317990391	78558.2	89186.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0237	742-B5-A30_0001.flac	4	
12	Spectrogram 1	1	74.584933343	74.610709189	65388.2	84796.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0258	742-B5-A30_0001.flac	6	
13	Spectrogram 1	1	77.951199937	77.959495611	35582.3	44362.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0083	742-B5-A30_0001.flac	4	
14	Spectrogram 1	1	81.880683435	81.907940651	65850.3	80175.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0273	742-B5-A30_0001.flac	4	step
16	Spectrogram 1	1	81.870906390	81.882757354	52680.2	58918.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0119	742-B5-A30_0001.flac	1	step
17	Spectrogram 1	1	84.007635338	84.046150969	38817.0	46903.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0385	742-B5-A30_0001.flac	4	
18	Spectrogram 1	1	85.577295636	85.585887585	70933.5	79944.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0086	742-B5-A30_0001.flac	4	
19	Spectrogram 1	1	95.429891150	95.449148966	68854.0	81330.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0193	742-B5-A30_0001.flac	4	
20	Spectrogram 1	1	100.742974774	100.763417686	66543.4	82486.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0204	742-B5-A30_0001.flac	6	
21	Spectrogram 1	1	100.982364283	101.013769336	64695.0	81793.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0314	742-B5-A30_0001.flac	6	
