Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
151	Spectrogram 1	1	314.470975938	314.490530028	58456.6	67929.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0196	742-B5-A30_0001.flac	4	
152	Spectrogram 1	1	318.344463815	318.378831609	64695.0	76016.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0344	742-B5-A30_0001.flac	4	
153	Spectrogram 1	1	318.575853923	318.588297435	63539.7	78327.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0124	742-B5-A30_0001.flac	4	
154	Spectrogram 1	1	319.657847028	319.672364458	64001.8	74399.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0145	742-B5-A30_0001.flac	4	
155	Spectrogram 1	1	319.916346169	319.968342271	58687.6	84334.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0520	742-B5-A30_0001.flac	6	6
156	Spectrogram 1	1	320.325056318	320.335129637	70240.3	77171.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0101	742-B5-A30_0001.flac	4	
157	Spectrogram 1	1	321.233136534	321.254764542	62153.4	77634.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0216	742-B5-A30_0001.flac	6	
158	Spectrogram 1	1	321.264541587	321.292095077	50600.7	59380.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0276	742-B5-A30_0001.flac	4	
159	Spectrogram 1	1	322.428010066	322.447267882	64464.0	70471.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0193	742-B5-A30_0001.flac	4	
160	Spectrogram 1	1	322.461489038	322.496745654	62153.4	83641.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0353	742-B5-A30_0001.flac	6	
161	Spectrogram 1	1	324.805313618	324.815386937	64695.0	87107.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0101	742-B5-A30_0001.flac	6	
162	Spectrogram 1	1	324.916120173	324.972708523	65157.1	85951.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0566	742-B5-A30_0001.flac	6	
163	Spectrogram 1	1	326.234243725	326.261204667	47366.0	56839.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0270	742-B5-A30_0001.flac	4	5
164	Spectrogram 1	1	326.256464282	326.281351305	64001.8	73937.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0249	742-B5-A30_0001.flac	4	5
165	Spectrogram 1	1	326.117511735	326.127288779	63308.7	71395.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0098	742-B5-A30_0001.flac	4	
166	Spectrogram 1	1	326.477781071	326.508889850	62615.5	77403.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0311	742-B5-A30_0001.flac	6	5
167	Spectrogram 1	1	326.470670493	326.483410278	52218.1	57070.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0127	742-B5-A30_0001.flac	4	5
168	Spectrogram 1	1	326.995371947	327.016407407	61460.3	75092.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0210	742-B5-A30_0001.flac	4	
169	Spectrogram 1	1	326.966633361	326.978484324	59380.8	67005.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0119	742-B5-A30_0001.flac	4	5
170	Spectrogram 1	1	326.965448264	326.973151391	45517.6	51756.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0077	742-B5-A30_0001.flac	4	5
171	Spectrogram 1	1	327.563329418	327.612510917	65850.3	77865.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0492	742-B5-A30_0001.flac	4	
172	Spectrogram 1	1	330.429781581	330.454964878	70933.5	85720.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0252	742-B5-A30_0001.flac	6	
173	Spectrogram 1	1	345.528206955	345.575610809	59149.7	82486.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0474	742-B5-A30_0001.flac	4	
174	Spectrogram 1	1	345.860033933	345.870699800	63308.7	82717.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0107	742-B5-A30_0001.flac	6	
175	Spectrogram 1	1	353.739147749	353.762553401	66774.5	76478.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0234	742-B5-A30_0001.flac	4	
176	Spectrogram 1	1	355.654856227	355.684187361	65850.3	71857.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0293	742-B5-A30_0001.flac	1	
177	Spectrogram 1	1	356.664262180	356.677001966	67467.7	81561.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0127	742-B5-A30_0001.flac	6	
178	Spectrogram 1	1	358.362209158	358.379985603	49676.5	59842.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0178	742-B5-A30_0001.flac	4	5
179	Spectrogram 1	1	358.377022863	358.406057723	61460.3	81099.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0290	742-B5-A30_0001.flac	4	5
180	Spectrogram 1	1	362.247548045	362.258213912	65619.2	76247.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0107	742-B5-A30_0001.flac	4	
181	Spectrogram 1	1	398.101456405	398.112714821	69547.1	80868.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	
182	Spectrogram 1	1	418.325720134	418.339941291	76478.7	81330.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0142	742-B5-A30_0001.flac	4	
183	Spectrogram 1	1	437.531097366	437.555095567	68160.8	82255.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0240	742-B5-A30_0001.flac	4	
184	Spectrogram 1	1	450.005422828	450.016977517	58918.7	67236.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0116	742-B5-A30_0001.flac	4	
186	Spectrogram 1	1	169.119337834	169.130003701	51062.8	58456.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0107	742-B5-A30_0001.flac	4	step 2
187	Spectrogram 1	1	172.816394492	172.839207597	49676.5	56146.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0228	742-B5-A30_0001.flac	4	6 
188	Spectrogram 1	1	204.424842813	204.435212406	48983.4	58456.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0104	742-B5-A30_0001.flac	4	step 3
189	Spectrogram 1	1	209.155007306	209.166265721	53373.4	60305.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	6
191	Spectrogram 1	1	215.334100406	215.349802932	51756.0	60305.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0157	742-B5-A30_0001.flac	4	6
192	Spectrogram 1	1	266.872612968	266.904314296	53373.4	63308.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0317	742-B5-A30_0001.flac	4	6
193	Spectrogram 1	1	319.911679852	319.918494156	46903.9	52911.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0068	742-B5-A30_0001.flac	4	6
