Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	15.934630123	15.946008230	36252.4	44491.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
2	Spectrogram 1	1	21.983345557	21.999441416	37664.8	44020.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
3	Spectrogram 1	1	22.082973373	22.098791717	40018.8	44491.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	1
4	Spectrogram 1	1	23.339838668	23.351494290	34839.9	44256.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
5	Spectrogram 1	1	23.340671212	23.348164112	68032.0	78389.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
6	Spectrogram 1	1	23.450289561	23.467217964	76271.2	88983.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
7	Spectrogram 1	1	23.450012046	23.467217964	36487.8	44962.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
8	Spectrogram 1	1	29.582536531	29.599464935	33898.3	46139.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
9	Spectrogram 1	1	36.846767975	36.864528922	33192.1	44491.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
10	Spectrogram 1	1	48.265952287	48.281215601	40960.5	57674.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
11	Spectrogram 1	1	48.274832760	48.286210867	62617.7	67796.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
12	Spectrogram 1	1	48.390556619	48.402489756	46374.8	52495.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
13	Spectrogram 1	1	57.110631474	57.129779995	36487.8	43785.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
14	Spectrogram 1	1	57.217752189	57.236623196	32721.3	59557.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	6
15	Spectrogram 1	1	89.900408046	89.915948875	27071.6	33427.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
16	Spectrogram 1	1	93.084614173	93.095714765	44491.5	52966.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	1
17	Spectrogram 1	1	105.866951951	105.875832425	35546.1	42608.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
18	Spectrogram 1	1	105.968522371	105.977125330	39548.0	46139.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0082.flac	742-B5-A30_0082.flac	4
