Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	13.458921328	13.473642971	24641.6	30690.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
2	Spectrogram 1	1	13.567805935	13.577527774	28673.8	33826.2	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
3	Spectrogram 1	1	120.936413628	120.946135468	74372.8	86469.5	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
4	Spectrogram 1	1	130.311049941	130.325771585	33602.2	38530.5	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
5	Spectrogram 1	1	130.427989787	130.443822498	30017.9	38082.4	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
6	Spectrogram 1	1	130.534374492	130.550207203	34274.2	43458.8	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
7	Spectrogram 1	1	153.025165968	153.029888005	38306.5	46595.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
8	Spectrogram 1	1	211.382895726	211.391784265	42114.7	50179.2	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
9	Spectrogram 1	1	214.675267910	214.697489258	34050.2	41218.6	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
10	Spectrogram 1	1	214.481663808	214.494441083	40994.6	47043.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
11	Spectrogram 1	1	248.658391961	248.666447200	37410.4	44354.8	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
12	Spectrogram 1	1	255.286468143	255.301745320	21505.4	31362.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
13	Spectrogram 1	1	271.614999477	271.630554421	22401.4	30465.9	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
14	Spectrogram 1	1	284.685602558	284.703379637	34050.2	45922.9	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
15	Spectrogram 1	1	341.376731108	341.392563819	33602.2	51299.3	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	6
16	Spectrogram 1	1	341.373675673	341.383675280	20609.3	26209.7	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
17	Spectrogram 1	1	347.487049269	347.507604016	35618.3	42786.7	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
18	Spectrogram 1	1	356.700579361	356.709467901	40322.6	45922.9	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
19	Spectrogram 1	1	356.717245372	356.726967212	39202.5	46147.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
20	Spectrogram 1	1	398.655614927	398.671169871	31586.0	47491.0	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	6
21	Spectrogram 1	1	413.221159720	413.234770296	65636.2	73924.7	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
22	Spectrogram 1	1	432.062093542	432.070982082	40770.6	52195.3	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
23	Spectrogram 1	1	476.459535796	476.479535009	39202.5	48387.1	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
24	Spectrogram 1	1	477.965032884	477.983643263	41666.7	50403.2	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
25	Spectrogram 1	1	882.564850037	882.592071189	40994.6	50627.2	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	4
26	Spectrogram 1	1	882.587349152	882.620125641	89381.7	114471.3	742-B5-A30_0109.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0109.flac	6
