Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	1.054847772	1.081203098	73885.7	96657.0	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
2	Spectrogram 1	1	1.439698871	1.471452275	54990.3	72674.4	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
3	Spectrogram 1	1	1.450177494	1.472087344	78246.1	93507.8	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
4	Spectrogram 1	1	4.725220717	4.772850824	55474.8	92054.3	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
5	Spectrogram 1	1	5.275189521	5.323772230	40697.7	95445.7	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
6	Spectrogram 1	1	5.604789694	5.623524203	84544.6	100532.9	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
7	Spectrogram 1	1	5.709258396	5.723229894	59108.5	72674.4	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
8	Spectrogram 1	1	5.719101952	5.730850712	91327.5	99564.0	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
9	Spectrogram 1	1	6.537703800	6.556438309	58139.5	71220.9	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
10	Spectrogram 1	1	10.674217405	10.686918767	87693.8	95930.2	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
11	Spectrogram 1	1	10.674852473	10.685013563	63226.7	72432.2	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
12	Spectrogram 1	1	11.511236820	11.567122812	57412.8	96657.0	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
13	Spectrogram 1	1	13.292284033	13.318639359	56686.0	81153.1	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
14	Spectrogram 1	1	13.302762656	13.319909495	86240.3	104166.7	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
15	Spectrogram 1	1	14.994900758	15.043801001	58139.5	95203.5	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	6
16	Spectrogram 1	1	15.116833833	15.134615739	54263.6	63711.2	742-B5-A30_0031.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0031.flac	4
