Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	1.398804381	1.403987884	64680.2	73401.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
2	Spectrogram 1	1	1.408677720	1.414601724	66133.7	78003.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
3	Spectrogram 1	1	1.452120414	1.461746920	52810.1	60804.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
4	Spectrogram 1	1	5.932143641	5.939301812	48207.4	53294.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
5	Spectrogram 1	1	5.940289146	5.948187817	55232.6	63469.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
6	Spectrogram 1	1	7.615053167	7.630110009	70009.7	81637.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
7	Spectrogram 1	1	8.051700744	8.105510444	44815.9	55232.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
8	Spectrogram 1	1	10.057221439	10.077708619	59108.5	63711.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
9	Spectrogram 1	1	13.682708657	13.692828830	53779.1	57655.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
10	Spectrogram 1	1	18.621349035	18.664544895	47480.6	53779.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
11	Spectrogram 1	1	19.250527198	19.274223212	66376.0	83333.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
12	Spectrogram 1	1	19.289773722	19.300634396	66376.0	81395.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
13	Spectrogram 1	1	19.123901618	19.131059789	49660.9	59108.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
14	Spectrogram 1	1	22.509220051	22.533656566	47965.1	54021.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
15	Spectrogram 1	1	24.480677261	24.519923786	48207.4	59350.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
16	Spectrogram 1	1	24.767250741	24.782060751	48449.6	65164.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	4
17	Spectrogram 1	1	24.777124081	24.806003599	67102.7	82364.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0007.flac	742-B5-A30_0007.flac	6
