Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	0.391297265	0.428745027	56451.6	66980.3	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
2	Spectrogram 1	1	0.825032881	0.846020088	53091.4	66980.3	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
3	Spectrogram 1	1	0.838612838	0.870299406	68996.4	81989.2	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
4	Spectrogram 1	1	0.947252499	0.967416679	56003.6	64964.2	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
5	Spectrogram 1	1	1.661602377	1.677315526	52867.4	63172.0	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
6	Spectrogram 1	1	1.673823715	1.686045053	71684.6	81317.2	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
7	Spectrogram 1	1	5.032656161	5.041967657	65636.2	70564.5	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
8	Spectrogram 1	1	5.426940007	5.440616266	64068.1	74820.8	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
9	Spectrogram 1	1	6.215507699	6.230929864	62276.0	67876.3	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
10	Spectrogram 1	1	6.702906504	6.744226267	62724.0	70788.5	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
11	Spectrogram 1	1	8.455505581	8.505263887	47715.1	58467.7	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
12	Spectrogram 1	1	8.836404152	8.874814072	62276.0	74820.8	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
13	Spectrogram 1	1	8.823891829	8.841350884	51523.3	56899.6	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
14	Spectrogram 1	1	9.091888072	9.127097166	52419.4	63844.1	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
15	Spectrogram 1	1	9.405569282	9.430302943	57226.2	68222.6	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
16	Spectrogram 1	1	9.422155384	9.446307077	76974.9	86624.8	742-B5-A30_0026.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0026.flac	4
