Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	0.481392313	0.566713896	62984.5	71463.2	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
2	Spectrogram 1	1	0.903060553	0.925513601	76065.9	85029.1	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
3	Spectrogram 1	1	3.417802330	3.442500682	62984.5	71220.9	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
4	Spectrogram 1	1	3.535905362	3.574075543	57897.3	67102.7	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
5	Spectrogram 1	1	5.343375696	5.361338134	57897.3	70736.4	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
6	Spectrogram 1	1	5.357296585	5.371217475	85029.1	94719.0	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
7	Spectrogram 1	1	5.505037774	5.520754907	66860.5	73643.4	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
8	Spectrogram 1	1	8.891736343	8.908883182	58139.5	68556.2	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
9	Spectrogram 1	1	9.034308962	9.044152518	79215.1	88178.3	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
10	Spectrogram 1	1	10.353344472	10.363505561	55959.3	66860.5	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
11	Spectrogram 1	1	10.363188027	10.372714049	77519.4	89389.5	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
12	Spectrogram 1	1	10.967772519	10.988729766	54990.3	67102.7	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
13	Spectrogram 1	1	19.574845124	19.587228952	77761.6	87209.3	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
14	Spectrogram 1	1	20.630010262	20.646522032	65649.2	74127.9	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
15	Spectrogram 1	1	28.481352846	28.508343240	62984.5	73158.9	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
16	Spectrogram 1	1	28.503580229	28.523267340	89874.0	97868.2	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
17	Spectrogram 1	1	29.419665622	29.443163142	61531.0	71705.4	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
18	Spectrogram 1	1	31.361702851	31.419811582	58866.3	67345.0	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
19	Spectrogram 1	1	31.517294535	31.534758908	61531.0	69767.4	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
20	Spectrogram 1	1	31.536029044	31.544284929	85271.3	95688.0	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
21	Spectrogram 1	1	32.018363095	32.028206651	59835.3	69040.7	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
22	Spectrogram 1	1	32.023761174	32.032969662	83333.3	92296.5	742-B5-A30_0015.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0015.flac	4
