Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
37	Spectrogram 1	1	34.941521620	35.010577619	62724.0	76164.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
38	Spectrogram 1	1	36.027559684	36.069437017	62724.0	89605.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
39	Spectrogram 1	1	36.297405016	36.314877016	60483.9	67876.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
40	Spectrogram 1	1	36.841532962	36.892284962	42562.7	86021.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
41	Spectrogram 1	1	37.131346478	37.157693145	45250.9	89157.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
42	Spectrogram 1	1	44.227754200	44.258260866	62724.0	72804.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
43	Spectrogram 1	1	44.245226200	44.258538199	81541.2	93862.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
44	Spectrogram 1	1	44.939669231	44.950762564	65636.2	73028.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
45	Spectrogram 1	1	46.100587111	46.129984444	63396.1	72132.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
46	Spectrogram 1	1	48.732481905	48.747735238	57347.7	61379.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
47	Spectrogram 1	1	48.742465905	48.777409904	66084.2	85125.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
48	Spectrogram 1	1	49.754732935	49.781079601	59587.8	66532.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
49	Spectrogram 1	1	49.876759785	49.933890451	56899.6	69892.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
50	Spectrogram 1	1	51.862467363	51.888259363	66980.3	71460.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
