Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	4.509578104	4.530040418	43234.8	47491.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	1
2	Spectrogram 1	1	27.679993344	27.694946573	38082.4	46595.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
3	Spectrogram 1	1	27.798438661	27.812604878	35618.3	48835.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
4	Spectrogram 1	1	101.991624029	102.015234391	34274.2	45026.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
5	Spectrogram 1	1	102.100231694	102.114791418	37186.4	49507.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
6	Spectrogram 1	1	134.333092097	134.349619351	36290.3	49731.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
7	Spectrogram 1	1	136.107803996	136.128659816	34722.2	45474.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
8	Spectrogram 1	1	140.382458997	140.402527805	34274.2	45250.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
9	Spectrogram 1	1	150.544750257	150.564819065	35842.3	47491.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
10	Spectrogram 1	1	150.435749085	150.449521796	36514.3	42786.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
11	Spectrogram 1	1	150.656505971	150.677755297	36066.3	50403.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
12	Spectrogram 1	1	176.602714071	176.622782878	36290.3	51523.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
13	Spectrogram 1	1	177.582937444	177.595136132	32258.1	38978.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
14	Spectrogram 1	1	177.707678858	177.725386629	36290.3	42562.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
15	Spectrogram 1	1	177.952831773	177.962275918	34498.2	42786.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
16	Spectrogram 1	1	177.955979822	177.964636954	46147.0	51523.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	1
17	Spectrogram 1	1	198.353361120	198.369101362	37858.4	49955.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
18	Spectrogram 1	1	201.988569234	202.029493862	34722.2	50627.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
19	Spectrogram 1	1	219.081287327	219.093092509	37186.4	44130.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
20	Spectrogram 1	1	219.202093680	219.217833922	48611.1	65188.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
21	Spectrogram 1	1	219.414586940	219.427966145	37858.4	46595.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
22	Spectrogram 1	1	271.891755896	271.922055861	22849.5	28001.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
23	Spectrogram 1	1	272.240008738	272.264012606	33154.1	39202.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
24	Spectrogram 1	1	282.055620840	282.071754587	41442.7	50403.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
25	Spectrogram 1	1	288.422153524	288.447337910	51878.4	57468.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0102.flac	742-B5-A30_0102.flac	4
