Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	1.099552441	1.134382445	52867.4	67428.3	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
2	Spectrogram 1	1	2.186928728	2.226572635	48163.1	59587.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
3	Spectrogram 1	1	5.184009755	5.212893173	49955.2	59587.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
4	Spectrogram 1	1	7.320817018	7.352532143	49059.1	56227.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
5	Spectrogram 1	1	7.344320191	7.364142144	61828.0	74372.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
6	Spectrogram 1	1	8.601032593	8.627933815	51971.3	61603.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
7	Spectrogram 1	1	9.034001063	9.043628868	56451.6	59811.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	1
8	Spectrogram 1	1	10.282784683	10.292978830	52195.3	57347.7	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
9	Spectrogram 1	1	12.174932649	12.208913140	53987.5	77733.0	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	6
10	Spectrogram 1	1	13.230593810	13.248716739	56003.6	60931.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	1
11	Spectrogram 1	1	21.088586567	21.121151204	55107.5	60483.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
12	Spectrogram 1	1	73.233373798	73.265655265	60931.9	66756.3	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
13	Spectrogram 1	1	73.468405718	73.502103038	56003.6	63396.1	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
14	Spectrogram 1	1	80.728056994	80.759488948	52643.4	59811.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
15	Spectrogram 1	1	85.182900806	85.221412029	57347.7	64964.2	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
16	Spectrogram 1	1	91.605783393	91.648259007	65636.2	77284.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
17	Spectrogram 1	1	110.897649442	110.944655788	51747.3	61603.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
18	Spectrogram 1	1	113.759940142	113.769567948	77733.0	81541.2	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
19	Spectrogram 1	1	152.590879028	152.620895128	50403.2	61828.0	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
20	Spectrogram 1	1	152.619762445	152.626558544	65412.2	82213.3	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	6
21	Spectrogram 1	1	356.567083074	356.612107225	67204.3	78405.0	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
22	Spectrogram 1	1	371.541159342	371.560981295	68772.4	79301.1	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
23	Spectrogram 1	1	437.455979104	437.482030814	64292.1	77957.0	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
24	Spectrogram 1	1	439.610060211	439.632997043	54883.5	59811.8	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
25	Spectrogram 1	1	439.756459495	439.798935109	55107.5	61155.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	1
26	Spectrogram 1	1	440.662889236	440.695737045	55107.5	67204.3	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
27	Spectrogram 1	1	464.842851836	464.856160862	63844.1	71460.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
28	Spectrogram 1	1	464.868620376	464.888725500	66084.2	77733.0	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
29	Spectrogram 1	1	464.864372814	464.871735254	49507.2	56451.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
30	Spectrogram 1	1	485.147621789	485.173956670	65188.2	72356.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
31	Spectrogram 1	1	485.139976178	485.150736667	49955.2	56675.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
32	Spectrogram 1	1	577.274722688	577.295677324	72804.7	86021.5	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
33	Spectrogram 1	1	650.819017312	650.850732438	22849.5	30241.9	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
34	Spectrogram 1	1	665.316516145	665.348514441	60035.8	71236.6	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
35	Spectrogram 1	1	906.296076188	906.309668385	21057.3	25985.7	742-B5-A30_0050.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0050.flac	4
