Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	6.385164252	6.407856564	85029.1	96657.0	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
2	Spectrogram 1	1	38.106122456	38.120504908	77277.1	84786.8	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
3	Spectrogram 1	1	42.150784977	42.184663641	60562.0	74612.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
4	Spectrogram 1	1	42.006001802	42.021982303	73885.7	84302.3	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
5	Spectrogram 1	1	45.033665703	45.046769714	63953.5	71947.7	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
6	Spectrogram 1	1	45.818947218	45.833329669	75096.9	85029.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
7	Spectrogram 1	1	52.985239585	52.995147496	83333.3	88420.5	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
8	Spectrogram 1	1	52.995147496	53.031583040	67829.5	78972.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
9	Spectrogram 1	1	56.223525648	56.277220134	60319.8	70736.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
10	Spectrogram 1	1	59.217950701	59.228497833	73401.2	86240.3	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
11	Spectrogram 1	1	59.295296160	59.304564851	84302.3	97626.0	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
12	Spectrogram 1	1	61.405999808	61.413990058	40455.4	44815.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	1
13	Spectrogram 1	1	61.424217579	61.435084321	29312.0	36821.7	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
14	Spectrogram 1	1	61.633562152	61.698762599	71463.2	96414.7	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	6
15	Spectrogram 1	1	61.885095079	61.928881654	60804.3	70736.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
16	Spectrogram 1	1	62.508653916	62.554358151	60319.8	70009.7	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
17	Spectrogram 1	1	63.275717659	63.303204122	74127.9	92296.5	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
18	Spectrogram 1	1	63.308317883	63.334525906	88905.0	100532.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
19	Spectrogram 1	1	64.476492049	64.492472550	72432.2	84060.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
20	Spectrogram 1	1	64.854270940	64.865776901	74854.7	83817.8	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
21	Spectrogram 1	1	64.864178851	64.891665314	63469.0	76065.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
22	Spectrogram 1	1	64.997775675	65.032613169	60077.5	72432.2	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
23	Spectrogram 1	1	66.034909727	66.078696302	61288.8	77277.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
24	Spectrogram 1	1	66.409492517	66.420359258	75823.6	83575.6	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
25	Spectrogram 1	1	66.419720038	66.430267170	84302.3	90116.3	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
26	Spectrogram 1	1	66.732298482	66.749237814	70009.7	81637.6	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
27	Spectrogram 1	1	67.940743513	67.963116215	65891.5	76065.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
28	Spectrogram 1	1	69.037644641	69.065450714	67345.0	78972.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
29	Spectrogram 1	1	71.984128189	72.007779331	64195.7	77034.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
30	Spectrogram 1	1	73.293569395	73.311467557	69767.4	84060.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
31	Spectrogram 1	1	76.178048170	76.199462043	62015.5	72189.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
32	Spectrogram 1	1	76.515875807	76.533134749	75339.1	85755.8	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
33	Spectrogram 1	1	76.775079375	76.793616757	59108.5	69282.9	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
34	Spectrogram 1	1	77.191211470	77.203995871	71220.9	78488.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
35	Spectrogram 1	1	79.533312357	79.558561550	71705.4	81637.6	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
36	Spectrogram 1	1	80.163583005	80.203853869	60077.5	68798.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
37	Spectrogram 1	1	79.939536371	79.949124672	73643.4	83091.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
38	Spectrogram 1	1	81.407184969	81.427000791	71705.4	84060.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
39	Spectrogram 1	1	81.811811103	81.830668095	62257.8	70494.2	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
40	Spectrogram 1	1	96.335201583	96.347666374	61046.5	67587.2	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
41	Spectrogram 1	1	116.566825579	116.612849424	52083.3	65164.7	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
42	Spectrogram 1	1	117.104409317	117.118472159	78488.4	90116.3	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
43	Spectrogram 1	1	122.402901919	122.443172783	63226.7	75339.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
44	Spectrogram 1	1	123.900593860	123.914017482	60319.8	68798.4	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
45	Spectrogram 1	1	123.910821381	123.922007733	81637.6	93507.8	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
46	Spectrogram 1	1	132.282362679	132.327427694	72916.7	85998.1	742-B5-A30_0054.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0054.flac	4
