Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	23.120058971	23.127371081	34498.2	41890.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
2	Spectrogram 1	1	248.856554716	248.863866827	58243.7	67204.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
3	Spectrogram 1	1	271.553639603	271.600887089	40994.6	54211.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
4	Spectrogram 1	1	273.168210676	273.222489038	34050.2	46819.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
5	Spectrogram 1	1	274.461329680	274.484390953	32482.1	37858.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
6	Spectrogram 1	1	694.288626015	694.321811748	22849.5	27105.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
7	Spectrogram 1	1	745.361495105	745.398055659	34722.2	42786.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
8	Spectrogram 1	1	745.414929761	745.425335457	38306.5	42338.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	1
9	Spectrogram 1	1	745.090947003	745.106414929	22401.4	29569.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
10	Spectrogram 1	1	765.999375532	766.020749394	52643.4	58019.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0120.flac	742-B5-A30_0120.flac	4
