Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	99.000011454	99.017941776	58691.8	72356.6	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
2	Spectrogram 1	1	109.781736405	109.799293179	59363.8	70340.5	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
3	Spectrogram 1	1	117.267644868	117.304626158	49731.2	63172.0	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
4	Spectrogram 1	1	119.124180048	119.163402629	58019.7	74596.8	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
5	Spectrogram 1	1	122.633293066	122.655332420	68996.4	86469.5	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
6	Spectrogram 1	1	122.884691131	122.921672421	53987.5	64740.1	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
7	Spectrogram 1	1	124.388596633	124.411009536	57795.7	69220.4	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
8	Spectrogram 1	1	125.438640997	125.475995836	55107.5	70788.5	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
9	Spectrogram 1	1	125.459559707	125.470019062	82885.3	90501.8	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
10	Spectrogram 1	1	127.995579328	128.015377392	82661.3	95430.1	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
11	Spectrogram 1	1	127.979143199	127.994085134	71460.6	80869.2	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
12	Spectrogram 1	1	151.749143521	151.785004166	56899.6	73476.7	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
13	Spectrogram 1	1	151.766700295	151.786498359	79525.1	99014.3	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	6
14	Spectrogram 1	1	166.139345284	166.159516897	45698.9	60483.9	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
15	Spectrogram 1	1	166.152045929	166.168855606	61379.9	80197.1	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	6
16	Spectrogram 1	1	166.976467144	167.013821983	47939.1	60931.9	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
17	Spectrogram 1	1	167.000747789	167.013448434	64292.1	81541.2	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
18	Spectrogram 1	1	167.616355379	167.646986346	71908.6	80869.2	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
19	Spectrogram 1	1	167.910711508	167.933497960	47939.1	55555.6	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
20	Spectrogram 1	1	171.512090501	171.544962759	51523.3	66756.3	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
21	Spectrogram 1	1	171.535997597	171.544589210	76612.9	85797.5	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
22	Spectrogram 1	1	171.906557521	171.924114296	51523.3	61155.9	742-B5-A30_0016.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0016.flac	4
