Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	0.001234167	0.015303676	57412.8	67102.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
2	Spectrogram 1	1	8.335805889	8.389121923	56443.8	67829.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
3	Spectrogram 1	1	8.711239425	8.774922466	59593.0	73643.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
4	Spectrogram 1	1	8.759865623	8.774428799	73885.7	97141.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
5	Spectrogram 1	1	9.080748958	9.110368977	57170.5	67345.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
6	Spectrogram 1	1	9.541339848	9.561827028	70978.7	89631.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
7	Spectrogram 1	1	10.032784924	10.085113624	55232.6	65164.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
8	Spectrogram 1	1	10.063145443	10.072525116	67345.0	88662.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
9	Spectrogram 1	1	10.450920654	10.488686178	52083.3	64438.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
10	Spectrogram 1	1	10.474123002	10.485477342	67829.5	86482.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
11	Spectrogram 1	1	10.812037648	10.845113335	60077.5	67345.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
12	Spectrogram 1	1	10.831043827	10.841904500	73158.9	87936.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
13	Spectrogram 1	1	11.758643013	11.790484533	77761.6	87451.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
14	Spectrogram 1	1	13.525228891	13.565709583	71463.2	89874.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
15	Spectrogram 1	1	17.428650417	17.459504603	59350.8	69525.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
16	Spectrogram 1	1	18.977529559	19.025908923	67587.2	85998.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
17	Spectrogram 1	1	20.048292433	20.074703616	81153.1	88420.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
18	Spectrogram 1	1	20.696476574	20.707830915	63226.7	72189.9	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
19	Spectrogram 1	1	20.703881579	20.763862117	68556.2	98110.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
20	Spectrogram 1	1	20.956145205	20.986505724	56686.0	64195.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
21	Spectrogram 1	1	20.977619718	21.001315733	65891.5	83817.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
22	Spectrogram 1	1	21.839314827	21.854371670	67587.2	84544.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
23	Spectrogram 1	1	22.645472401	22.679782256	60562.0	70251.9	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
24	Spectrogram 1	1	22.659541910	22.691630264	84786.8	96657.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
25	Spectrogram 1	1	22.667193748	22.704712439	70736.4	82848.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
26	Spectrogram 1	1	24.494006734	24.532019091	67829.5	86482.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
27	Spectrogram 1	1	24.484133394	24.497215569	54748.1	64195.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
28	Spectrogram 1	1	26.992947174	27.053668212	67829.5	85029.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
29	Spectrogram 1	1	27.850689562	27.920790273	69040.7	84302.3	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
30	Spectrogram 1	1	30.199554511	30.216339189	59108.5	67587.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
31	Spectrogram 1	1	30.209427851	30.217573356	73158.9	87451.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
32	Spectrogram 1	1	30.683347749	30.711733601	71947.7	90843.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
33	Spectrogram 1	1	30.812194830	30.838112347	59593.0	68798.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
34	Spectrogram 1	1	30.832682010	30.842802183	75096.9	91812.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
35	Spectrogram 1	1	31.446062629	31.484568654	62742.2	72189.9	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
36	Spectrogram 1	1	32.002424913	32.028095596	76792.6	90358.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
37	Spectrogram 1	1	32.392421625	32.421054310	77277.1	88420.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
38	Spectrogram 1	1	33.250414232	33.282749419	55717.1	66618.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
39	Spectrogram 1	1	34.293284922	34.353265460	64680.2	85271.3	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
40	Spectrogram 1	1	34.358448963	34.369309636	56686.0	66618.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
41	Spectrogram 1	1	34.590224944	34.626756301	52810.1	66376.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
42	Spectrogram 1	1	34.920981154	34.953316342	57655.0	71463.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
43	Spectrogram 1	1	34.950354340	34.970841519	68798.4	93992.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
44	Spectrogram 1	1	35.268769340	35.300857694	56928.3	68556.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
45	Spectrogram 1	1	36.528112800	36.555264483	61288.8	71463.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
46	Spectrogram 1	1	36.547365812	36.567606158	83817.8	96172.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
47	Spectrogram 1	1	37.525812961	37.560616483	57170.5	65649.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
48	Spectrogram 1	1	38.427495095	38.442305104	56928.3	67102.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
49	Spectrogram 1	1	38.726903917	38.742454427	59835.3	70736.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
50	Spectrogram 1	1	38.932516013	38.959667697	60804.3	70736.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
51	Spectrogram 1	1	38.947572856	38.954484194	85029.1	93507.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
52	Spectrogram 1	1	39.366695920	39.396562772	60562.0	65891.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
53	Spectrogram 1	1	40.650475895	40.670222574	58866.3	68798.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
54	Spectrogram 1	1	40.667260572	40.693671755	74612.4	89147.3	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
55	Spectrogram 1	1	43.161017508	43.174593350	72189.9	79215.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
56	Spectrogram 1	1	44.695333274	44.739022802	74612.4	100048.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
57	Spectrogram 1	1	44.738035468	44.750870809	63469.0	79215.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
58	Spectrogram 1	1	45.369435132	45.398314650	58866.3	72916.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
59	Spectrogram 1	1	45.716729650	45.772514019	73158.9	95688.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
60	Spectrogram 1	1	45.860386541	45.885316723	58139.5	66133.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
61	Spectrogram 1	1	46.442419507	46.460685185	77277.1	82606.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
62	Spectrogram 1	1	46.765030677	46.785024190	61773.3	71463.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
63	Spectrogram 1	1	47.034819480	47.055553493	60077.5	68556.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
64	Spectrogram 1	1	47.344842142	47.380632998	64680.2	74370.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
65	Spectrogram 1	1	47.947115254	47.970070769	65891.5	73401.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
66	Spectrogram 1	1	48.023139969	48.062139660	64195.7	74370.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
67	Spectrogram 1	1	48.894708418	48.914948764	67829.5	75581.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
68	Spectrogram 1	1	48.795975022	48.806342029	62984.5	68314.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
69	Spectrogram 1	1	51.085107196	51.118182884	63469.0	77277.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
70	Spectrogram 1	1	51.985801532	52.048250405	67102.7	86967.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
71	Spectrogram 1	1	52.408380065	52.470335271	54021.3	62742.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
72	Spectrogram 1	1	52.694459878	52.722845730	57655.0	64438.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
73	Spectrogram 1	1	52.706554719	52.727288732	65891.5	85513.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
74	Spectrogram 1	1	54.980630051	54.995440060	66133.7	80910.9	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
75	Spectrogram 1	1	55.003832399	55.024072745	70494.2	90358.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
76	Spectrogram 1	1	54.989516056	55.016914574	56928.3	65164.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
77	Spectrogram 1	1	55.857382003	55.922052377	56928.3	66133.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
78	Spectrogram 1	1	56.299460381	56.321428562	71220.9	85998.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
79	Spectrogram 1	1	56.866436505	56.928885377	59108.5	100048.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
80	Spectrogram 1	1	57.488209663	57.504253839	57170.5	64680.2	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
81	Spectrogram 1	1	57.494380500	57.532886524	68556.2	87451.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
82	Spectrogram 1	1	58.050989617	58.108008153	55232.6	64922.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
83	Spectrogram 1	1	58.092704477	58.105292984	69282.9	90843.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
84	Spectrogram 1	1	58.614756905	58.689547452	54263.6	93750.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
85	Spectrogram 1	1	59.217770518	59.276023221	66133.7	85998.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
86	Spectrogram 1	1	59.593944555	59.624798741	59593.0	70736.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
87	Spectrogram 1	1	60.203869706	60.269280580	64195.7	85755.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
88	Spectrogram 1	1	60.660511260	60.729624636	61288.8	87936.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
89	Spectrogram 1	1	60.825642864	60.876737396	47480.6	59835.3	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
90	Spectrogram 1	1	60.861927386	60.878958897	65407.0	79699.6	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
91	Spectrogram 1	1	61.192190194	61.235632888	67829.5	88905.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
92	Spectrogram 1	1	61.485921846	61.539978380	53779.1	61531.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
93	Spectrogram 1	1	62.010442609	62.030929789	59835.3	66133.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
94	Spectrogram 1	1	62.019822282	62.039568961	70736.4	87936.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
95	Spectrogram 1	1	62.150890865	62.182485551	57170.5	67829.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
96	Spectrogram 1	1	65.356267684	65.400204045	75581.4	99564.0	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
97	Spectrogram 1	1	65.387615537	65.421431725	56928.3	72916.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
98	Spectrogram 1	1	67.206530116	67.232200799	55717.1	66133.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
99	Spectrogram 1	1	67.213935120	67.240593137	67829.5	88662.8	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	6
100	Spectrogram 1	1	67.674279377	67.714019569	54990.3	65891.5	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
101	Spectrogram 1	1	68.058598719	68.102041413	56928.3	70009.7	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
102	Spectrogram 1	1	69.428523581	69.485542117	51114.3	72674.4	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
103	Spectrogram 1	1	70.000189541	70.025119723	63711.2	79215.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
104	Spectrogram 1	1	70.240605159	70.301326197	69525.2	86967.1	742-B5-A30_0023.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0023.flac	4
