Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	0.096791914	0.108216533	62500.0	69767.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
2	Spectrogram 1	1	0.468649468	0.478133989	75716.8	88037.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
3	Spectrogram 1	1	6.708351219	6.732620437	60707.9	75044.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	6
4	Spectrogram 1	1	9.470022253	9.496523122	58243.7	71460.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
5	Spectrogram 1	1	11.146550599	11.172493556	62500.0	74148.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
6	Spectrogram 1	1	32.538899124	32.587437558	55107.5	86245.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	6
7	Spectrogram 1	1	41.245136333	41.264384333	58243.7	72132.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
8	Spectrogram 1	1	41.835408515	41.846287820	62948.0	70564.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
9	Spectrogram 1	1	42.545353230	42.564043317	64068.1	72356.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
10	Spectrogram 1	1	43.442477955	43.455309955	64516.1	73924.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
11	Spectrogram 1	1	44.290506148	44.306127713	52867.4	63844.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
12	Spectrogram 1	1	44.308638321	44.326491539	70788.5	85125.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
13	Spectrogram 1	1	46.016132109	46.042632978	58467.7	70340.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
14	Spectrogram 1	1	46.899030051	46.915767443	61155.9	75940.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
15	Spectrogram 1	1	46.916325356	46.925251964	85573.5	99014.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
16	Spectrogram 1	1	47.308817365	47.324159974	59811.8	75940.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
17	Spectrogram 1	1	50.886436169	50.893410082	70788.5	77509.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
18	Spectrogram 1	1	56.809243313	56.849134096	52195.3	65860.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
19	Spectrogram 1	1	58.544632753	58.567507187	61603.9	73924.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
20	Spectrogram 1	1	61.679268654	61.706048480	55779.6	72580.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
21	Spectrogram 1	1	61.788619795	61.808704665	54211.5	61828.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
22	Spectrogram 1	1	64.910423882	64.942224925	56675.6	67652.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
23	Spectrogram 1	1	65.490095716	65.500138151	80869.2	87141.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
24	Spectrogram 1	1	67.747971089	67.759408306	60483.9	76612.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
25	Spectrogram 1	1	68.333779967	68.350238402	75716.8	89381.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
26	Spectrogram 1	1	75.607294902	75.618453162	55555.6	62948.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
27	Spectrogram 1	1	76.722842582	76.737627278	59587.8	67204.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
28	Spectrogram 1	1	76.732327104	76.773891626	76836.9	88261.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0021.flac	742-B5-A30_0021.flac	4
