Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	22.296914089	22.318283506	34274.200	45026.900	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
2	Spectrogram 1	1	36.747642582	36.796764487	50627.200	60931.900	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
3	Spectrogram 1	1	46.352783103	46.367491922	32930.100	45698.900	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	6
4	Spectrogram 1	1	46.750198928	46.764630222	22849.500	33826.200	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
5	Spectrogram 1	1	88.620120298	88.633719017	38082.400	46595.000	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
6	Spectrogram 1	1	88.631498818	88.642599814	54211.500	59811.800	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
7	Spectrogram 1	1	88.138614248	88.149715243	51299.300	58691.800	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
8	Spectrogram 1	1	97.628304836	97.640793456	34050.200	43682.800	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
9	Spectrogram 1	1	97.623864438	97.632467709	30017.900	34722.200	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
10	Spectrogram 1	1	102.159178559	102.187763622	57795.700	75716.800	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
11	Spectrogram 1	1	132.454920480	132.466854050	24193.500	40546.600	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	6
12	Spectrogram 1	1	161.458505783	161.468496679	32482.100	38530.500	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
13	Spectrogram 1	1	170.023205129	170.041799297	68996.400	88709.700	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	6
14	Spectrogram 1	1	170.030420776	170.046239695	92069.900	103942.700	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
15	Spectrogram 1	1	186.814024770	186.825958340	26433.700	35842.300	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
16	Spectrogram 1	1	187.349647989	187.361304035	49283.200	56003.600	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
17	Spectrogram 1	1	218.081381274	218.088319396	30690.000	35842.300	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
18	Spectrogram 1	1	238.461432139	238.475585908	22177.400	25761.600	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	1
19	Spectrogram 1	1	243.441341315	243.448556963	30017.900	37634.400	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
20	Spectrogram 1	1	278.783598806	278.793589702	35394.300	42114.700	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
21	Spectrogram 1	1	278.788039205	278.798585150	24865.600	33602.200	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
22	Spectrogram 1	1	278.834663386	278.844099232	27329.700	37186.400	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
23	Spectrogram 1	1	322.607575282	322.636160345	63620.100	73476.700	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
24	Spectrogram 1	1	331.647675182	331.659608752	47043.000	55107.500	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
25	Spectrogram 1	1	331.657388553	331.685696092	62052.000	81317.200	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	6
26	Spectrogram 1	1	444.050582945	444.081943257	21729.400	46819.000	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	6
27	Spectrogram 1	1	646.684652308	646.701303801	34050.200	48163.100	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
28	Spectrogram 1	1	657.674921125	657.696013016	29793.900	39426.500	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
29	Spectrogram 1	1	668.001350224	668.013838844	33602.200	44354.800	742-B5-A30_0069.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0069.flac	4
