Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos	subtipos_completo
1	Spectrogram 1	1	0.226810640	0.296080905	74596.8	103494.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
2	Spectrogram 1	1	0.381976034	0.435808926	57795.7	67204.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
3	Spectrogram 1	1	0.664598635	0.713285735	56227.6	67876.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
4	Spectrogram 1	1	1.165323613	1.176802686	75492.8	86693.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
5	Spectrogram 1	1	1.312572406	1.367592788	58019.7	71012.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
6	Spectrogram 1	1	1.936014852	1.973222880	60259.9	74596.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
7	Spectrogram 1	1	2.173512904	2.200429350	75716.8	96550.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
8	Spectrogram 1	1	2.509176736	2.542822294	87813.6	103270.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
9	Spectrogram 1	1	2.941818516	2.948547628	79525.1	84229.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 1
10	Spectrogram 1	1	2.952901759	2.958443380	81989.2	89381.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 1
11	Spectrogram 1	1	3.494001406	3.518147042	60707.9	73252.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
12	Spectrogram 1	1	3.752874283	3.804332195	58243.7	68996.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
13	Spectrogram 1	1	3.999080516	4.028767773	58019.7	71236.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 2
14	Spectrogram 1	1	4.014913720	4.038663525	75716.8	94758.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 2
15	Spectrogram 1	1	4.137225216	4.177204055	56227.6	66084.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
16	Spectrogram 1	1	4.772136595	4.790344779	60931.9	69892.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
17	Spectrogram 1	1	5.581609374	5.639400567	51971.3	67652.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
18	Spectrogram 1	1	6.340811319	6.390290079	67729.1	92293.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
19	Spectrogram 1	1	6.490435091	6.539122192	58243.7	69220.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 3
20	Spectrogram 1	1	6.526851459	6.536351382	71236.6	92965.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 3
21	Spectrogram 1	1	6.627392302	6.669350291	52867.4	65412.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 4
22	Spectrogram 1	1	6.655496238	6.679641873	70340.5	84229.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 4
23	Spectrogram 1	1	6.778203565	6.811057462	57123.7	66532.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
24	Spectrogram 1	1	7.751945416	7.793111745	68100.4	94758.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
25	Spectrogram 1	1	9.390680803	9.429867982	61379.9	74148.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
26	Spectrogram 1	1	9.661428583	9.718032285	56451.6	68772.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
27	Spectrogram 1	1	9.993529944	10.025592181	60707.9	71236.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
28	Spectrogram 1	1	10.314152315	10.355318644	60483.9	69668.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
29	Spectrogram 1	1	11.080479201	11.146978655	70788.5	93638.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
30	Spectrogram 1	1	11.255040269	11.320352233	55555.6	62276.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
31	Spectrogram 1	1	11.516287621	11.556662290	59811.8	70788.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
32	Spectrogram 1	1	11.999596076	12.042741556	70116.5	88709.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 5
33	Spectrogram 1	1	11.996429436	12.007512678	58915.8	66532.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 5
34	Spectrogram 1	1	12.134969966	12.172573824	60483.9	73700.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 6
35	Spectrogram 1	1	12.164657222	12.197511120	71460.6	96102.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 6 
36	Spectrogram 1	1	12.873192492	12.903671408	69668.5	80197.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 7
37	Spectrogram 1	1	12.885463224	12.925837893	88261.6	106630.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 7
38	Spectrogram 1	1	12.926233723	12.942462757	61828.0	72580.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 7
39	Spectrogram 1	1	13.049336880	13.069128385	58243.7	66980.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 6
40	Spectrogram 1	1	13.062795103	13.077044986	68996.4	91397.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 6
