Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
64	Spectrogram 1	1	222.583051081	222.599351018	86021.5	102598.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
65	Spectrogram 1	1	271.371034193	271.391549631	60259.9	69220.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
66	Spectrogram 1	1	272.165516160	272.196148800	59363.8	66308.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
67	Spectrogram 1	1	285.945994923	285.968196561	57571.7	66532.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
68	Spectrogram 1	1	417.802710582	417.823507053	53315.4	57795.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	1
69	Spectrogram 1	1	437.618384674	437.681898221	38754.5	45698.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
70	Spectrogram 1	1	438.811371996	438.858866639	36962.4	45250.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
71	Spectrogram 1	1	467.635295382	467.650471186	39202.5	44802.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
72	Spectrogram 1	1	474.667878790	474.717340668	42114.7	49731.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
73	Spectrogram 1	1	490.229548995	490.256528201	52643.4	60931.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
74	Spectrogram 1	1	488.533792743	488.541942711	59811.8	65188.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
75	Spectrogram 1	1	539.099033254	539.117300425	61379.9	69668.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
76	Spectrogram 1	1	570.352492072	570.374974744	39650.5	48835.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
77	Spectrogram 1	1	630.563646598	630.571515533	63172.0	67652.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
78	Spectrogram 1	1	679.803814092	679.843158767	59363.8	70340.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
79	Spectrogram 1	1	690.290580637	690.302946107	61379.9	66308.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
80	Spectrogram 1	1	797.280891911	797.307028017	60931.9	72356.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
81	Spectrogram 1	1	877.028655033	877.044954970	62052.0	70564.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
