Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	30.778357622	30.789799386	35842.3	48611.1	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
2	Spectrogram 1	1	46.077956213	46.096374662	31362.0	45026.9	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
3	Spectrogram 1	1	104.253772573	104.283911854	34498.2	42114.7	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
4	Spectrogram 1	1	151.654789439	151.673486957	38530.5	48387.1	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
5	Spectrogram 1	1	159.164775864	159.171473482	30017.9	37410.4	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
6	Spectrogram 1	1	214.309638870	214.350661781	41666.7	57347.7	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
7	Spectrogram 1	1	245.813854791	245.821389611	59587.8	68324.4	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
8	Spectrogram 1	1	247.240727258	247.253006225	59587.8	69444.4	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
9	Spectrogram 1	1	247.261099180	247.268913068	63620.1	70340.5	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
10	Spectrogram 1	1	247.261378247	247.266401461	47939.1	52195.3	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	1
11	Spectrogram 1	1	247.781560291	247.798025269	47491.0	54883.5	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
12	Spectrogram 1	1	247.795792730	247.805001955	63620.1	71684.6	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
13	Spectrogram 1	1	252.669149520	252.680870351	29345.9	35170.3	742-B5-A30_0126.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0126.flac	4
