Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	0.432111798	0.480415183	49199.6	63794.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
2	Spectrogram 1	1	0.440841325	0.458591364	67796.6	75565.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
3	Spectrogram 1	1	0.443751168	0.473431561	30367.2	39077.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	1
4	Spectrogram 1	1	2.831278063	2.875798652	44256.1	58380.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
5	Spectrogram 1	1	2.855720739	2.862704361	72033.9	77919.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
6	Spectrogram 1	1	3.264263741	3.303255630	56968.0	66619.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
7	Spectrogram 1	1	3.286669528	3.298308898	68267.4	86864.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
8	Spectrogram 1	1	3.841868397	3.884934065	56026.4	70856.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
9	Spectrogram 1	1	4.238771101	4.283291690	47081.0	60734.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
10	Spectrogram 1	1	4.267578541	4.292603186	62617.7	86393.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
11	Spectrogram 1	1	4.795424349	4.838199033	64500.9	96751.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
12	Spectrogram 1	1	7.248131715	7.283340809	48258.0	60734.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
13	Spectrogram 1	1	7.273447344	7.298762974	63323.9	83333.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
14	Spectrogram 1	1	8.227003297	8.261339438	57438.8	77919.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
15	Spectrogram 1	1	8.795877443	8.842143938	59792.8	97928.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	6
16	Spectrogram 1	1	22.168355950	22.203274060	59792.8	69915.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
17	Spectrogram 1	1	23.935504240	23.959073964	62617.7	69915.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
18	Spectrogram 1	1	24.921359251	24.937072400	62617.7	70856.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0042.flac	742-B5-A30_0042.flac	4
