Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	0.606731914	0.619006001	72975.5	84745.8	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
2	Spectrogram 1	1	0.615658523	0.623748262	55555.6	64030.1	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
3	Spectrogram 1	1	5.185525803	5.229321976	55555.6	67090.4	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
4	Spectrogram 1	1	10.078704535	10.097952534	61440.7	71092.3	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
5	Spectrogram 1	1	15.769698626	15.785320191	53201.5	65913.4	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
6	Spectrogram 1	1	22.480279354	22.491437615	59086.6	64971.8	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
7	Spectrogram 1	1	22.490600745	22.500085267	74623.4	82391.7	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
8	Spectrogram 1	1	25.432756833	25.440288659	58380.4	64971.8	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
9	Spectrogram 1	1	27.319061750	27.352536532	51318.3	62146.9	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
10	Spectrogram 1	1	30.129828286	30.164418895	53672.3	63323.9	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
11	Spectrogram 1	1	31.346637184	31.386527966	54849.3	64500.9	742-B5-A30_0037.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0037.flac	4
