Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	1.969647233	1.979091306	59363.8	65636.2	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
2	Spectrogram 1	1	2.420184599	2.432961875	22849.5	36738.4	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	6
3	Spectrogram 1	1	32.171527990	32.182083131	43906.8	51299.3	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
4	Spectrogram 1	1	37.838530304	37.875195528	42338.7	49059.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
5	Spectrogram 1	1	37.739367537	37.749922677	47939.1	61155.9	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	6
6	Spectrogram 1	1	43.308873684	43.335817069	43458.8	48835.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	1
7	Spectrogram 1	1	43.304707181	43.310818052	54211.5	59363.8	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	1
8	Spectrogram 1	1	53.129047611	53.139324985	30465.9	40770.6	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
9	Spectrogram 1	1	53.126269943	53.132936347	54883.5	62276.0	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
10	Spectrogram 1	1	84.072290574	84.083956782	43458.8	47267.0	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	1
11	Spectrogram 1	1	84.060902133	84.077012610	59139.8	64292.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	1
12	Spectrogram 1	1	94.158288170	94.169676611	32258.1	43234.8	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
13	Spectrogram 1	1	129.053876891	129.070542902	19937.3	29345.9	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
14	Spectrogram 1	1	129.058598928	129.072765037	43906.8	53763.4	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
15	Spectrogram 1	1	129.078875908	129.088875515	23745.5	34722.2	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
16	Spectrogram 1	1	129.945231096	129.971063413	57571.7	66532.3	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
17	Spectrogram 1	1	145.508236190	145.527124336	37858.4	47715.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
18	Spectrogram 1	1	145.389907509	145.400462650	41890.7	49059.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
19	Spectrogram 1	1	150.174443737	150.195276251	36738.4	58019.7	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	6
20	Spectrogram 1	1	156.568916969	156.575583374	45922.9	51747.3	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
21	Spectrogram 1	1	169.635353547	169.643964320	59363.8	65188.2	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
22	Spectrogram 1	1	173.218546551	173.234379262	41890.7	47043.0	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
23	Spectrogram 1	1	173.322431354	173.329653293	44354.8	53091.4	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
24	Spectrogram 1	1	173.214935582	173.226046256	50627.2	57123.7	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
25	Spectrogram 1	1	174.460164943	174.474608820	44578.9	49955.2	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
26	Spectrogram 1	1	181.037687137	181.048520045	50851.3	56675.6	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
27	Spectrogram 1	1	189.319031534	189.333753177	34946.2	42562.7	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
28	Spectrogram 1	1	251.519392086	251.548557605	36066.3	49731.2	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
29	Spectrogram 1	1	281.649331042	281.657941815	40098.6	45922.9	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
30	Spectrogram 1	1	286.197487913	286.206931986	38978.5	47715.1	742-B5-A30_0110.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0110.flac	4
