"sound.files","selec","start","end","bottom.freq","top.freq","subtypes","composed.subtype","count.subtypes","composed.subtype.label","subtype.label"
"742-B5-A30_0004.flac",96,99.282883612,99.328799902,61.0307,103.3002,"4-6",96,2,"composed.complex","complex"
"742-B5-A30_0004.flac",97,99.651796748,99.690983927,57.4141,88.8336,"4-6",97,2,"composed.complex","complex"
"742-B5-A30_0004.flac",98,99.859607462,99.901169621,57.8662,84.5389,"4-4",98,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",99,100.173896551,100.195271376,60.3526,93.1284,"4-4",99,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",100,100.752995887,100.813162061,57.8662,87.0253,"4-6",100,2,"composed.complex","complex"
"742-B5-A30_0004.flac",101,100.991285518,101.024535246,60.3526,90.868,"4-4",101,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",102,101.245804264,101.27153322,58.9964,88.8336,"4-4",102,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",103,101.367324101,101.397407188,59.6745,92.4503,"4-4",103,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",104,101.727925229,101.772654029,60.1266,90.868,"4-6",104,2,"composed.complex","complex"
"742-B5-A30_0004.flac",105,104.247382902,104.28459093,60.1266,97.4231,"4-6",105,2,"composed.complex","complex"
"742-B5-A30_0004.flac",106,107.169004287,107.272711769,49.5027,84.3128,"4-6",106,2,"composed.complex","complex"
"742-B5-A30_0004.flac",107,107.454001868,107.514168041,56.5099,93.5805,"4-6",107,2,"composed.complex","complex"
"742-B5-A30_0004.flac",108,108.101975639,108.143537798,59.9005,100.3617,"4-4",108,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",109,108.481180781,108.548867726,57.8662,84.7649,"4-6",109,2,"composed.complex","complex"
"742-B5-A30_0004.flac",110,119.390652101,119.413214416,59.2224,91.3201,"4-4",110,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",111,119.554525676,119.594108685,60.3526,90.642,"4-6",111,2,"composed.complex","complex"
"742-B5-A30_0004.flac",112,120.94784742,120.968430584,60.3526,71.8807,"4-4",112,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",113,121.325469241,121.36584391,59.6745,84.0868,"4-6",113,2,"composed.complex","complex"
"742-B5-A30_0004.flac",114,136.290614901,136.341281152,59.9005,94.0325,"4-4-4",114,3,"composed.complex","complex"
"742-B5-A30_0004.flac",115,137.553312635,137.62416622,55.6058,89.9638,"4-6",115,2,"composed.complex","complex"
"742-B5-A30_0004.flac",116,138.319243772,138.342201917,62.1609,82.9566,"4-4",116,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",117,140.788431448,140.810993763,66.9078,80.6962,"4-4",117,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",118,144.557524967,144.619670291,55.3797,87.0253,"4-4",118,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",119,151.058636411,151.087927838,62.1609,97.6492,"4-4",119,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",120,158.928132646,158.94554917,61.7089,94.9367,"4-4",120,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",121,159.627564328,159.693667953,60.3526,108.9512,"6-6",121,2,"composed.complex","complex"
"742-B5-A30_0004.flac",122,169.546273022,169.611189156,60.5787,105.7866,"4-4-4",122,3,"composed.complex","complex"
"742-B5-A30_0004.flac",123,169.726771461,169.784166823,60.8047,86.1212,"4-4",123,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",124,172.016252358,172.06691861,54.2495,86.5732,"4-6",124,2,"composed.complex","complex"
"742-B5-A30_0004.flac",125,174.587563773,174.640209175,56.736,86.3472,"4-6",125,2,"composed.complex","complex"
"742-B5-A30_0004.flac",126,176.128134228,176.171675537,37.5226,64.8734,"4-1-4",126,3,"composed.complex","complex"
"742-B5-A30_0004.flac",127,176.383840383,176.434110804,58.0922,84.5389,"4-4",127,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",128,186.690066308,186.716586924,61.7089,90.4159,"4-4",128,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",129,189.524209243,189.55825063,58.3183,101.4919,"4-4",129,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",130,192.59426691,192.628704127,51.7631,84.991,"4-6",130,2,"composed.complex","complex"
"742-B5-A30_0004.flac",131,192.717765897,192.756953075,58.0922,85.443,"4-4",131,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",132,192.982576144,193.028888264,57.6401,89.9638,"6-4",132,2,"composed.complex","complex"
"742-B5-A30_0004.flac",133,193.450051395,193.493988535,56.5099,87.0253,"4-4",133,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",134,194.506917565,194.568271228,57.1881,85.443,"4-4-4-4",134,4,"composed.complex","complex"
"742-B5-A30_0004.flac",135,196.756023794,196.807481705,57.4141,90.1899,"4-6",135,2,"composed.complex","complex"
"742-B5-A30_0004.flac",136,197.865931195,197.916597446,57.1881,96.2929,"4-4-4",136,3,"composed.complex","complex"
"742-B5-A30_0004.flac",137,199.522875614,199.562854453,63.0651,80.6962,"1-4",137,2,"step.flat.trill","step.flat.trill"
"742-B5-A30_0004.flac",138,201.657586524,201.692023742,66.9078,111.8897,"4-4",138,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",139,232.358558094,232.405661875,67.1338,106.2387,"4-6",139,2,"composed.complex","complex"
"742-B5-A30_0004.flac",140,232.507390207,232.52164009,76.6275,88.8336,"4-4",140,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",141,233.519923407,233.550006493,65.3255,103.3002,"4-4",141,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",142,243.080801783,243.106530739,63.7432,100.3617,"4-4",142,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",143,252.028934843,252.098996768,57.8662,92.2242,"4-6",143,2,"composed.complex","complex"
"742-B5-A30_0004.flac",144,257.996468258,258.019822234,62.1609,93.1284,"4-4",144,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",145,264.249395086,264.289769755,58.9964,94.2586,"4-4-4",145,3,"composed.complex","complex"
"742-B5-A30_0004.flac",146,277.557595903,277.600345552,44.3038,97.4231,"4-1-4-4",146,4,"composed.complex","complex"
"742-B5-A30_0004.flac",147,277.96173834,278.00488382,61.9349,97.6492,"4-4",147,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",148,285.894963643,285.97215051,49.9548,95.6148,"4-6",148,2,"composed.complex","complex"
"742-B5-A30_0004.flac",149,287.380909122,287.428012902,61.7089,107.1429,"4-4",149,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",150,306.589748494,306.628144012,56.2839,79.1139,"1-1",150,2,"step.flat","step.flat"
"742-B5-A30_0004.flac",151,307.728551491,307.755072107,54.9277,86.7993,"4-4",151,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",152,312.265158963,312.333241738,52.6673,77.7577,"4-1",152,2,"step.flat.trill","step.flat.trill"
"742-B5-A30_0004.flac",153,322.420969879,322.501323386,44.0778,82.2785,"4-4-4",153,3,"composed.complex","complex"
"742-B5-A30_0004.flac",154,325.859545275,325.908232376,68.264,110.5335,"4-4",154,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",155,331.850432666,331.883286564,62.1609,96.9711,"4-4",155,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",156,334.580472289,334.63351352,57.8662,86.3472,"4-4",156,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",157,345.149529391,345.169320896,71.2151,83.8608,"4-4",157,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",158,347.720841149,347.762799138,61.4828,89.2857,"4-4",158,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",159,353.541917514,353.611583609,58.5443,76.4014,"4-4",159,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",160,353.752499039,353.80554027,55.8318,83.6347,"4-4",160,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",161,357.032346652,357.090533674,58.0922,102.6221,"4-6",161,2,"composed.complex","complex"
"742-B5-A30_0004.flac",162,363.56235454,363.6526038,49.5027,77.7577,"4-4-1",162,3,"composed.complex","complex"
"742-B5-A30_0004.flac",163,365.723586408,365.796023314,58.5443,89.5118,"4-6-4-6",163,4,"composed.complex","complex"
