Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	2.523513163	2.549901014	67876.3	87365.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
2	Spectrogram 1	1	3.847350123	3.870127005	58019.7	68548.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
3	Spectrogram 1	1	3.859849632	3.871793607	71012.5	88709.7	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
4	Spectrogram 1	1	4.164560055	4.178448398	53987.5	65636.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
5	Spectrogram 1	1	4.173726362	4.199558679	66980.3	83109.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
6	Spectrogram 1	1	4.281222319	4.323442880	58467.7	71236.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
7	Spectrogram 1	1	5.190075835	5.210352815	49283.2	59811.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
8	Spectrogram 1	1	5.209519515	5.238962801	62948.0	82661.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
9	Spectrogram 1	1	8.837989962	8.850489470	38754.5	47939.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
10	Spectrogram 1	1	12.572288975	12.583955183	75268.8	84005.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
11	Spectrogram 1	1	12.686728919	12.705061532	60931.9	70340.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
12	Spectrogram 1	1	16.250201502	16.262701010	69668.5	82213.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
13	Spectrogram 1	1	17.875138337	17.888471146	68548.4	81989.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
14	Spectrogram 1	1	19.365913782	19.377579990	57347.7	61828.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
15	Spectrogram 1	1	19.374524555	19.421467153	66980.3	94982.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
16	Spectrogram 1	1	20.163938508	20.197270531	65412.2	84677.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
17	Spectrogram 1	1	20.562256362	20.589755280	60931.9	70340.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
18	Spectrogram 1	1	21.836928589	21.868316244	59363.8	84453.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
19	Spectrogram 1	1	22.765781083	22.778002824	53315.4	63396.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
20	Spectrogram 1	1	22.861888414	22.878554426	53763.4	64068.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
21	Spectrogram 1	1	26.387584520	26.418694408	68100.4	79973.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
22	Spectrogram 1	1	26.700905716	26.739515309	53987.5	66532.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
23	Spectrogram 1	1	27.132277826	27.170331885	58467.7	67204.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
24	Spectrogram 1	1	27.153943640	27.173942854	73028.7	89157.7	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
25	Spectrogram 1	1	30.676584731	30.705472484	49955.2	68772.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
26	Spectrogram 1	1	30.699639380	30.726860532	69892.5	91173.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
27	Spectrogram 1	1	31.466554218	31.499608474	57571.7	70340.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
28	Spectrogram 1	1	31.485164597	31.501552842	69892.5	94534.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
29	Spectrogram 1	1	34.929752598	34.953640547	56675.6	71236.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
30	Spectrogram 1	1	35.350014217	35.383346239	60259.9	69892.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
31	Spectrogram 1	1	36.323587410	36.342753323	73252.7	90277.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
32	Spectrogram 1	1	37.328270676	37.340492417	56675.6	63172.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
33	Spectrogram 1	1	37.340492417	37.350492024	72580.6	90725.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
34	Spectrogram 1	1	39.826784822	39.863727813	55331.5	68100.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
35	Spectrogram 1	1	39.845950735	39.858172476	71012.5	94310.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
36	Spectrogram 1	1	41.910037336	41.949480229	56899.6	69668.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
37	Spectrogram 1	1	41.936147420	41.943647125	71236.6	90725.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
38	Spectrogram 1	1	42.237246875	42.260301524	59139.8	69668.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
39	Spectrogram 1	1	42.256412788	42.265856861	76164.9	91397.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
40	Spectrogram 1	1	42.734172146	42.788058916	54435.5	93638.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
41	Spectrogram 1	1	43.189154438	43.208320351	67876.3	83781.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
42	Spectrogram 1	1	43.179432598	43.191654339	54211.5	61379.9	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
43	Spectrogram 1	1	44.360220049	44.381052563	54211.5	66084.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
44	Spectrogram 1	1	44.371608490	44.389385569	68324.4	86021.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
45	Spectrogram 1	1	44.716872874	44.729927917	54659.5	63396.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
46	Spectrogram 1	1	44.734649953	44.741871891	68100.4	74148.7	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
47	Spectrogram 1	1	45.548785156	45.592394552	60931.9	72580.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
48	Spectrogram 1	1	47.219275336	47.227052808	53987.5	58915.8	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
49	Spectrogram 1	1	47.228441642	47.263718032	65636.2	80421.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
50	Spectrogram 1	1	47.626481729	47.650925212	58467.7	66980.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
51	Spectrogram 1	1	47.647036476	47.656202782	71460.6	84677.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
52	Spectrogram 1	1	49.038370966	49.073091823	66308.2	87813.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
53	Spectrogram 1	1	50.087774695	50.109718277	64964.2	83557.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
54	Spectrogram 1	1	54.609543715	54.631209529	68772.4	92293.9	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
55	Spectrogram 1	1	55.289239576	55.321182764	76164.9	96326.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
56	Spectrogram 1	1	59.381580854	59.411857441	59139.8	68100.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
57	Spectrogram 1	1	60.132385030	60.170716856	70116.5	85125.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
58	Spectrogram 1	1	60.265435354	60.283212432	56451.6	64740.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
59	Spectrogram 1	1	61.015683996	61.033738842	72356.6	84453.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
60	Spectrogram 1	1	62.796170455	62.811169865	54659.5	62052.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
61	Spectrogram 1	1	69.134535624	69.165089978	58915.8	71908.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
62	Spectrogram 1	1	69.149535034	69.168145413	75044.8	93414.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
63	Spectrogram 1	1	69.265919530	69.288696412	56451.6	64516.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
64	Spectrogram 1	1	69.732012496	69.763677918	59363.8	67876.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
65	Spectrogram 1	1	69.938115686	69.952004029	60259.9	66308.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
66	Spectrogram 1	1	69.953948397	69.975891979	71012.5	85573.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
67	Spectrogram 1	1	71.028351143	71.057238896	56899.6	63620.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
68	Spectrogram 1	1	71.547497578	71.574440963	59363.8	70788.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
69	Spectrogram 1	1	71.557774952	71.574163196	74148.7	91621.9	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
70	Spectrogram 1	1	71.676936933	71.686103239	59139.8	71236.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
71	Spectrogram 1	1	73.424369320	73.454090373	71460.6	103270.6	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
72	Spectrogram 1	1	86.982175647	87.023007375	62724.0	69668.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
73	Spectrogram 1	1	118.645944937	118.662055415	57571.7	63620.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
74	Spectrogram 1	1	122.253582686	122.297469849	59363.8	92741.9	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
75	Spectrogram 1	1	134.645878319	134.683099077	55555.6	66084.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
76	Spectrogram 1	1	135.881386024	135.916940182	58019.7	69668.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
77	Spectrogram 1	1	135.899718637	135.911662612	73924.7	84453.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
78	Spectrogram 1	1	137.064117844	137.112171509	34274.2	42338.7	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	1
79	Spectrogram 1	1	137.052173869	137.069395414	52419.4	62052.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
80	Spectrogram 1	1	137.064951144	137.081061622	71908.6	81093.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	1
82	Spectrogram 1	1	138.519894244	138.554615101	57571.7	68324.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
83	Spectrogram 1	1	139.019597184	139.050984839	57123.7	64068.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
84	Spectrogram 1	1	141.395893730	141.430336820	58691.8	69220.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
85	Spectrogram 1	1	143.401648450	143.434424939	57347.7	65636.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
86	Spectrogram 1	1	143.429980669	143.443035712	71460.6	86245.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
87	Spectrogram 1	1	146.093488090	146.109043034	75716.8	82437.3	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
88	Spectrogram 1	1	150.763861956	150.784694471	69444.4	79973.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
89	Spectrogram 1	1	155.216188657	155.262020188	68548.4	88933.7	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
90	Spectrogram 1	1	155.723391302	155.740890614	53987.5	62276.0	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
91	Spectrogram 1	1	156.210039015	156.290869170	63172.0	91845.9	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
92	Spectrogram 1	1	159.506577887	159.527965935	56003.6	65412.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
93	Spectrogram 1	1	160.599868779	160.617645858	68996.4	79749.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
94	Spectrogram 1	1	164.838592348	164.883868346	56899.6	69220.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
95	Spectrogram 1	1	164.871646604	164.882479511	73476.7	86469.5	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
96	Spectrogram 1	1	165.540787325	165.559675471	57347.7	65188.2	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
97	Spectrogram 1	1	168.207905951	168.225127496	56899.6	64068.1	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	4
98	Spectrogram 1	1	168.221794294	168.242349041	66084.2	84005.4	742-B5-A30_0019.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0019.flac	6
