Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	407.878421054	407.918327695	48076.9	60375.7	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
2	Spectrogram 1	1	420.821573649	420.884642886	57915.9	70661.9	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
3	Spectrogram 1	1	423.414948494	423.425273988	53220.0	55903.4	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	1
4	Spectrogram 1	1	423.426111190	423.441459899	78488.4	89669.1	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
5	Spectrogram 1	1	423.746201708	423.764899225	51654.7	55679.8	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	1
6	Spectrogram 1	1	715.111419671	715.126768379	20572.5	27057.2	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
7	Spectrogram 1	1	733.440018144	733.451180841	73792.5	81842.6	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
8	Spectrogram 1	1	736.720736419	736.730224711	72450.8	77593.9	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
9	Spectrogram 1	1	764.868884171	764.890651430	20348.8	29293.4	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
10	Spectrogram 1	1	793.463260309	793.477492747	61717.4	69543.8	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
11	Spectrogram 1	1	808.083609270	808.123794979	50536.7	63729.9	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
12	Spectrogram 1	1	808.273933437	808.326398112	49418.6	62388.2	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
13	Spectrogram 1	1	808.513094402	808.532629122	52325.6	59034.0	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
14	Spectrogram 1	1	808.529838448	808.543233684	73121.6	81171.7	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
15	Spectrogram 1	1	809.031043722	809.060624869	60822.9	75134.2	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
16	Spectrogram 1	1	821.659129013	821.670849845	55008.9	60822.9	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
17	Spectrogram 1	1	853.243714238	853.261574553	51654.7	58586.8	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
18	Spectrogram 1	1	853.263248958	853.270225643	45617.2	50536.7	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
19	Spectrogram 1	1	854.126125796	854.167706842	53443.6	60822.9	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
20	Spectrogram 1	1	867.856527535	867.876341322	46064.4	50760.3	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	4
21	Spectrogram 1	1	423.423041449	423.426948393	57915.9	64177.1	742-B5-A30_0125.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0125.flac	1
