Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	22.191702178	22.213076041	26365.3	32015.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
2	Spectrogram 1	1	22.193389588	22.210544925	51789.1	63088.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
3	Spectrogram 1	1	23.204992377	23.224397594	32956.7	36958.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
4	Spectrogram 1	1	26.142493554	26.157961481	30367.2	39077.2	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
5	Spectrogram 1	1	26.140243674	26.153461720	65207.2	72975.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
6	Spectrogram 1	1	29.805862965	29.820487187	29190.2	39548.0	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
7	Spectrogram 1	1	29.807269140	29.816831131	59322.0	74623.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
8	Spectrogram 1	1	29.907107577	29.925106619	30602.6	36016.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
9	Spectrogram 1	1	37.517050451	37.537580608	24011.3	35075.3	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
10	Spectrogram 1	1	37.626732114	37.642200041	27542.4	39312.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
11	Spectrogram 1	1	37.740069833	37.748788119	35075.3	42372.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
12	Spectrogram 1	1	53.961714717	54.004743677	28719.4	40725.0	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
13	Spectrogram 1	1	53.959746072	53.976901409	59086.6	69444.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
14	Spectrogram 1	1	54.184452863	54.203576846	32956.7	41666.7	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
15	Spectrogram 1	1	68.909363967	68.916957313	36723.2	44256.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
16	Spectrogram 1	1	91.136783607	91.149720418	33898.3	43785.3	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
17	Spectrogram 1	1	91.603352714	91.618820640	34133.7	49670.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
18	Spectrogram 1	1	102.882288422	102.895225233	38841.8	51318.3	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
19	Spectrogram 1	1	144.376286810	144.395410793	41666.7	50612.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
20	Spectrogram 1	1	144.692394988	144.705050564	41431.3	48493.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
21	Spectrogram 1	1	147.721016742	147.749983950	55791.0	59792.8	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
22	Spectrogram 1	1	150.685797957	150.699297238	42137.5	49670.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
23	Spectrogram 1	1	161.148308416	161.168557338	36016.9	51318.3	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
24	Spectrogram 1	1	170.429911797	170.443973549	36958.6	42137.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
25	Spectrogram 1	1	172.704823102	172.721415969	40018.8	43314.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
26	Spectrogram 1	1	172.803536599	172.812817355	35310.7	42608.3	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
27	Spectrogram 1	1	172.910687146	172.931498539	33898.3	44726.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
28	Spectrogram 1	1	172.529051206	172.541706783	37194.0	44256.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
29	Spectrogram 1	1	173.985286955	174.008066993	43314.5	50847.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
30	Spectrogram 1	1	193.931045702	193.954106975	40254.2	46139.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
31	Spectrogram 1	1	204.026263021	204.036106247	35310.7	48258.0	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
32	Spectrogram 1	1	208.890224923	208.903442970	41902.1	48022.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
33	Spectrogram 1	1	248.463950423	248.481949465	30602.6	36487.8	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
34	Spectrogram 1	1	254.245301990	254.256270156	29425.6	35781.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
35	Spectrogram 1	1	254.358639708	254.374388870	35546.1	40489.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
36	Spectrogram 1	1	255.230750107	255.250999029	33192.1	47081.0	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
37	Spectrogram 1	1	295.037057404	295.053931506	36487.8	41195.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
38	Spectrogram 1	1	318.331766259	318.347515421	31779.7	36487.8	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
39	Spectrogram 1	1	324.122398582	324.137304039	33662.9	45197.7	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
40	Spectrogram 1	1	352.189105909	352.207386187	40489.6	48022.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
41	Spectrogram 1	1	458.656022617	458.668115724	35546.1	48964.2	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
42	Spectrogram 1	1	520.157936714	520.175373286	31779.7	38135.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
43	Spectrogram 1	1	520.189716273	520.206871610	31073.4	37900.2	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
44	Spectrogram 1	1	520.600038373	520.624787056	35781.5	46139.4	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
45	Spectrogram 1	1	553.951998722	553.969154059	43549.9	59792.8	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	6
46	Spectrogram 1	1	602.287886735	602.306448247	41195.9	47787.2	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
47	Spectrogram 1	1	649.584048509	649.608797192	24246.7	31779.7	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
48	Spectrogram 1	1	807.900040817	807.910165278	34369.1	40489.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
49	Spectrogram 1	1	808.152027594	808.170307871	33427.5	44256.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
50	Spectrogram 1	1	808.022097008	808.040939755	28719.4	38135.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
51	Spectrogram 1	1	808.285614234	808.306144392	38371.0	50847.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
52	Spectrogram 1	1	852.941540635	852.967133023	35781.5	49199.6	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
53	Spectrogram 1	1	874.375316766	874.387972343	28013.2	34604.5	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
54	Spectrogram 1	1	899.210912929	899.222443565	30838.0	36016.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
55	Spectrogram 1	1	899.210631694	899.221037390	61440.7	68502.8	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
56	Spectrogram 1	1	170.317839636	170.335557443	33192.1	41195.9	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	1
57	Spectrogram 1	1	170.207876738	170.221094785	37900.2	44256.1	742-B5-A30_0118.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0118.flac	4
