Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	12.368285503	12.378276036	34274.2	41666.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
2	Spectrogram 1	1	56.417676634	56.432384918	37186.4	42562.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	1
3	Spectrogram 1	1	56.728493217	56.735708602	24641.6	33378.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
4	Spectrogram 1	1	139.486499424	139.504815401	32930.1	39202.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
5	Spectrogram 1	1	165.925624268	165.955040838	66980.3	80645.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
6	Spectrogram 1	1	264.954331213	264.985135357	56003.6	64068.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
7	Spectrogram 1	1	583.599757318	583.618628325	44354.8	52643.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
8	Spectrogram 1	1	619.146086154	619.158296806	42562.7	50403.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
9	Spectrogram 1	1	619.153301539	619.163569587	33154.1	40546.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
10	Spectrogram 1	1	650.202503903	650.223872544	48611.1	55779.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0084.flac	742-B5-A30_0084.flac	4
